barcode,product_name,price,stock,category,description
5901234123457,Premium Warehouse Scanner,89.99,45,Electronics,Advanced barcode scanner with matrix interface
5901234123458,Standard Price Reader,49.99,120,Electronics,Mid-range scanning device
5901234123459,Basic Barcode Detector,19.99,250,Electronics,Entry-level scanner
5901234123460,Professional Ultra Scanner,199.99,15,Premium,Industrial-grade with AI detection
5901234123461,Portable Inventory Scanner,79.99,60,Mobile,Compact wireless barcode reader
5901234123462,Matrix Warehouse Manager,299.99,8,Enterprise,Complete warehouse management system
5901234123463,Quick Scan Tag,9.99,500,Consumables,RFID tags for quick scanning
5901234123464,Power Bank Scanner,34.99,200,Accessories,Barcode reader with battery backup
5901234123465,Network Enabled Scanner,149.99,25,Network,Cloud-connected price checker
5901234123466,Thermal Price Label,4.99,1000,Labels,Thermal-printed price tags
